China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Name,CrowdStrike,IRL,Kaspersky,Secureworks,Mandiant,FireEye,Symantec,iSight,Cisco (Sourcefire/VRT > Talos),Palo Alto Unit 42,Other Names,Operation 1,Operation 2,Operation 3,Operation 4,Toolset / Malware,Targets,Modus Operandi,Overlaps to,Comment,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Link 13,Link 14,Link 15
Comment Crew,Comment Panda,PLA Unit 61398,,TG-8223,APT1,,,BrownFox,Group 3,,"GIF89a, ShadyRAT, Shanghai Group, Byzantine Candor",Shady RAT,GhostNet,,,"WEBC2, BISCUIT and many others","U.S. cybersecurity firm Mandiant, later purchased by FireEye, released a report in February 2013 that exposed one of China's cyber espionage units, Unit 61398. The group, which FireEye called APT1, is a unit within China's People's Liberation Army (PLA) that has been linked to a wide range of cyber operations targeting U.S. private sector entities for espionage purposes. The comprehensive report detailed evidence connecting APT1 and the PLA, offered insight into APT1's operational malware and methodologies, and provided timelines of the espionage it conducted.",,,,http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf,http://www.nytimes.com/2013/02/19/technology/chinas-army-is-seen-as-tied-to-hacking-against-us.html?emc=na&_r=2&,https://www.secureworks.com/research/analysis-of-dhs-nccic-indicators,https://www.scribd.com/doc/13731776/Tracking-GhostNet-Investigating-a-Cyber-Espionage-Network,http://www.nartv.org/mirror/ghostnet.pdf,,,,,,,,,,
APT2,Putter Panda,PLA Unit 61486,,TG-6952,APT2,,,,Group 36,,SearchFire,,,,,"Their activities are commonly known to be exploiting CVE-2012-0158 (MSOffice vulnerability in MSCOMCTL.OCX) in SpearPhising operations. Related malware: Moose, Warp, MSUpdater","This threat actor targets firms in the technology (communications, space, aerospace), research, defense, and government sectors in the United States for espionage purposes. The tools and infrastructure it uses overlap with PLA Unit 61398.",,,,http://cdn0.vox-cdn.com/assets/4589853/crowdstrike-intelligence-report-putter-panda.original.pdf,http://icitech.org/icit-brief-chinas-espionage-dynasty-economic-death-by-a-thousand-cuts/,,,,,,,,,,,,,
UPS,Gothic Panda,,,TG-0110,APT3,,Buckeye,UPS Team,Group 6,,"Boyusec – the Guangzhou Boyu Information Technology Company, Ltd",Clandestine Fox,Double Tap,Clandestine Wolf,,"Shotput, Pirpi, PlugX/Sogu, Kaba, Cookie Cutter, many 0days: IE, Firefox, and Flash, SportLoader, Shadow Brokers exploits, DoublePulsar, Bemstour, Filensfer","This threat actor targets and compromises entities in the defense, construction, technology, and transportation sectors. Up until 2015, it was primarily focused on U.S. and UK entities, but it shifted to Hong Kongâ€“based targets afterward. Aerospace and Defence; Construction and Engineering; Energy; High Tech; Nonprofit; Telecommunications; Transportation",,,,https://www.fireeye.com/blog/threat-research/2015/06/operation-clandestine-wolf-adobe-flash-zero-day.html,http://www.secureworks.com/resources/blog/research/threat-group-0110-targets-manufacturing-and-financial-organizations-via-phishing/,http://www.symantec.com/connect/blogs/buckeye-cyberespionage-group-shifts-gaze-us-hong-kong,https://intrusiontruth.wordpress.com/2017/05/09/apt3-is-boyusec-a-chinese-intelligence-contractor/,https://www.fireeye.com/current-threats/apt-groups.html,https://www.recordedfuture.com/chinese-mss-behind-apt3/,http://freebeacon.com/national-security/u-s-indicts-three-chinese-hackers-linked-security-firm/amp/,https://www.washingtonpost.com/world/national-security/china-hacked-a-navy-contractor-and-secured-a-trove-of-highly-sensitive-data-on-submarine-warfare/2018/06/08/6cc396fa-68e6-11e8-bea7-c8eb28bc52b1_story.html?noredirect=on&utm_term=.209df584e031,https://intrusiontruth.wordpress.com/2018/05/22/the-destruction-of-apt3/,https://www.symantec.com/blogs/threat-intelligence/buckeye-windows-zero-day-exploit,,,,,
IXESHE,Numbered Panda,,,TG-2754 (tentative),APT12,BeeBus,,Calc Team,Group 22,,"DynCalc, Crimson Iron, DNSCalc",NYT Oct 2012,,,,"Etumbot, Riptide, Hightide, ThreeByte, Waterspout, Mswab, Gh0st, ShowNews, 3001","This threat actor targets organizations in Japan, Taiwan, and elsewhere in East Asiaâ€”including electronics manufacturers and telecommunications companiesâ€”for espionage purposes.",,,,http://www.crowdstrike.com/blog/whois-numbered-panda/,http://www.computerworld.com/s/article/9241577/The_Chinese_hacker_group_that_hit_the_N.Y._Times_is_back_with_updated_tools?taxonomyId=17,http://blog.crowdstrike.com/whois-numbered-panda/,http://www.secureworks.com/cyber-threat-intelligence/threats/analysis-of-dhs-nccic-indicators/,http://blog.trendmicro.com/taking-a-bite-out-of-ixeshe/,http://www.arbornetworks.com/asert/2014/06/illuminating-the-etumbot-apt-backdoor/,https://cysinfo.com/sx-2nd-meetup-reversing-and-decrypting-the-communications-of-apt-malware/,http://blog.macnica.net/blog/2017/08/post-fb81.html,,,,,,,
APT16,,,,,APT16,,,,,,,,,,,"ELMER backdoor, Gh0st, HTRAN, UNICAT,Poison Ivy, Pandora","This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors.","Spear phishing email delivering a malicious Microsoft Word document exploiting EPS dict copy use-after-free vulnerability, and the local Windows privilege escalation vulnerability CVE-2015-1701. The successful exploitation of both vulnerabilities led to the delivery of either a downloader (IRONHALO), or a backdoor (ELMER). Also known to be using compromised VPN credentials to maintain network persistency. ",,,https://www.fireeye.com/blog/threat-research/2015/12/the_eps_awakens.html,https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part-two.html,https://securelist.com/analysis/publications/74828/cve-2015-2545-overview-of-current-threats/,,,,,,,,,,,,
Hidden Lynx,Aurora Panda,,,,APT17,Deputy Dog,Hidden Lynx,Tailgater Team,Group 8,,"Axiom, SportsFans, Winnti Umbrella",Ephemeral Hydra,,,,"BLACKCOFFEE, WEBCnC, Joy RAT, PlugX, Trojan.Naid, Backdoor.Moudoor, Backdoor.Vasport, Backdoor.Boda, Trojan.Hydraq, ZxShell, Sakula, China Chopper, DestroyRAT","Government, defense & aerospace, industrial engineering, NGOs",,,,http://www.fireeye.com/blog/technical/cyber-exploits/2013/09/operation-deputydog-zero-day-cve-2013-3893-attack-against-japanese-targets.html,http://www.fireeye.com/blog/technical/cyber-exploits/2013/11/operation-ephemeral-hydra-ie-zero-day-linked-to-deputydog-uses-diskless-method.html,http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/hidden_lynx.pdf,http://www.darkreading.com/attacks-and-breaches/chinese--hidden-lynx--hackers-launch-widespread-apt-attacks/d/d-id/1111589?page_number=2,https://www.rsaconference.com/writable/presentations/file_upload/crwd-t11-hide_and_seek-how_threat_actors_respond_in_the_face_of_public_exposure.pdf,http://www.crowdstrike.com/blog/french-connection-french-aerospace-focused-cve-2014-0322-attack-shares-similarities-2012/,https://401trg.com/burning-umbrella/,https://www.infosecurity-magazine.com/news/chinese-espionage-group-widescale/,https://intrusiontruth.wordpress.com/2019/07/24/apt17-is-run-by-the-jinan-bureau-of-the-chinese-ministry-of-state-security/,,,,,,
Wekby,Dynamite Panda,,,TG-0416,APT18,,,,,,TA428,Maudi,,,,"HTTPBrowser, TokenControl, HcdLoader, PisLoader",Aerospace and Defence; Construction and Engineering; Education; Health and Biotechnology; High Tech; Telecommunications; Transportation,,,,https://threatpost.com/apt-gang-branches-out-to-medical-espionage-in-community-health-breach/107828,http://www.slideshare.net/CrowdStrike/crowd-casts-monthly-you-have-an-adversary-problem,https://www.threatstream.com/blog/evasive-maneuvers-the-wekby-group-attempts-to-evade-analysis-via-custom-rop,http://researchcenter.paloaltonetworks.com/2016/05/unit42-new-wekby-attacks-use-dns-requests-as-command-and-control-mechanism/,https://paper.seebug.org/papers/APT/APT_CyberCriminal_Campagin/2012/NormanShark-MaudiOperation.pdf,https://www.proofpoint.com/us/threat-insight/post/chinese-apt-operation-lagtime-it-targets-government-information-technology,,,,,,,,,
Axiom,,,,,APT17,,,Tailgater Team,Group 72,,"Dogfish (iDefense), Deputy Dog (iDefense), Winnti Umbrella",SMN,,,,"Winnti, Gh0st RAT, PoisonIvy, HydraQ, Hikit, ZxShell, Deputy Dog, Derusbi, PlugX, HTRAN, HDRoot, Fscan, Timestomper",,,Shell Crew,"Use ""Skeleton Key"" on DCs",http://securelist.com/blog/research/57585/winnti-faq-more-than-just-a-game/,http://www.novetta.com/files/5614/1329/6232/novetta_cybersecurity_exec_summary-3.pdf,http://www.novetta.com/2015/04/operation-smn-winnti-update/,https://securelist.com/analysis/publications/72275/i-am-hdroot-part-1/,https://401trg.com/burning-umbrella/,https://blog.trendmicro.com/trendlabs-security-intelligence/supply-chain-attack-operation-red-signature-targets-south-korean-organizations/,,,,,,,,,
Winnti Group,Wicked Panda,,,,APT41,,,,,,"Winnti Umbrella, BARIUM, LEAD",,,,,"Winnti, AceHash, PlugX, Webshells, ZxShell","ThyssenKrupp, Gameforge, Valve, Teamviewer,Siemens, Sumitomo, BASF, Covestro, Shin-Etsu, Bayer, Roche",,"Deep Panda, Wicked Spider",,http://blog.trendmicro.com/trendlabs-security-intelligence/winnti-abuses-github/,https://www.protectwise.com/blog/winnti-evolution-going-open-source.html,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2015/january/windows-firewall-hook-enumeration/,https://www.nccgroup.trust/globalassets/our-research/uk/technical-advisories/2015/derusbi-server-technical-note-1-1-tlp-white.pdf,https://lab52.io/blog/winnti-group-geostrategic-analysis-and-ttp/,https://web.br.de/interaktiv/winnti/index.html,,,,,,,,,
Shell Crew,Deep Panda,,WebMasters,,APT19,KungFu Kittens,,,Group 13,,"Sh3llCr3w, PinkPanther, Winnti Group",Anthem,OPM,Anthem Hack,,"Sakula/Sakurel, Derusbi, Scanbox Framework, many Webshells including China Chopper, WCE",,,"Axiom, Winnti",,http://cybercampaigns.net/wp-content/uploads/2013/06/Deep-Panda.pdf,https://www.isightpartners.com/2015/07/threatscape-media-highlights-update-week-of-july-29th/,https://www.fireeye.com/blog/threat-research/2017/06/phished-at-the-request-of-counsel.html,,,,,,,,,,,,
