North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Name,CrowdStrike,Talos Group,Dell Secure Works,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Other Name 6,Other Name 7,Other Name 8,Rep. of Korea FSI,Operation 1,Operation 2,Operation 3,Operation 4,Operation 5,Operation 6,Operation 7,Operation 8,Operation 9,Toolset / Malware,Targets,Modus Operandi,Comment,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Link 13,Link 14,Link 15,Link 16,Link 17,Link 18,Link 19,Link 20,Link 21,Link 22
Lazarus Group,Labyrinth Chollima,Group 77,Hastati Group,Bureau 121,Unit 121,Whois Hacking Team,NewRomanic Cyber Army Team,Zinc,Appleworm,Hidden Cobra,Nickel Academy,,Troy,Blockbuster,Dark Seoul,Applejeus,,,,,,"Tdrop, Tdrop2, Troy, Destover, FallChill RAT, Volgmer, Hawup, Manuscrypt, WolfRAT, SheepRAT, HtDnDownLoader","Believed to be responsible for Dark Seoul, Ten Days of Rain, the Sony Pictures Entertainment attack, the SWIFT-related bank heists, and WannaCry. Known to the U.S. government as Hidden Cobra. Targeting also BitCoin Exchanges, financial sector, technology/engineering sector","Delivery: usually via spear phishing email.
Infrastructure: C2 often based on compromised servers,moving to own servers paid by bitcoin to preserve anonymity
Persistency: tipically launching ransomware after operation to destroy evidences",Threat Recon.nshc.net alias=SectorA01,http://www.mcafee.com/us/resources/white-papers/wp-dissecting-operation-troy.pdf,http://researchcenter.paloaltonetworks.com/2015/11/tdrop2-attacks-suggest-dark-seoul-attackers-return/,https://www.operationblockbuster.com/wp-content/uploads/2016/02/Operation-Blockbuster-Report.pdf,https://www.alienvault.com/open-threat-exchange/blog/operation-blockbuster-unveils-the-actors-behind-the-sony-attacks,https://www.us-cert.gov/ncas/alerts/TA17-164A,http://www.fsec.or.kr/common/proc/fsec/bbs/21/fileDownLoad/1235.do,https://researchcenter.paloaltonetworks.com/2017/08/unit42-blockbuster-saga-continues/,https://www.crowdstrike.com/blog/unprecedented-announcement-fbi-implicates-north-korea-destructive-attacks/,https://www.us-cert.gov/ncas/alerts/TA17-318A,https://www.us-cert.gov/ncas/alerts/TA17-318B,https://www.proofpoint.com/sites/default/files/pfpt-us-wp-north-korea-bitten-by-bitcoin-bug.pdf,https://securingtomorrow.mcafee.com/mcafee-labs/lazarus-resurfaces-targets-global-banks-bitcoin-users/,https://www.darkreading.com/vulnerabilities---threats/lazarus-group-fancy-bear-most-active-threat-groups-in-2017/d/d-id/1330954?print=yes,https://www.us-cert.gov/HIDDEN-COBRA-North-Korean-Malicious-Cyber-Activity, https://securelist.com/operation-applejeus/87553/,https://blogs.microsoft.com/on-the-issues/2017/12/19/microsoft-facebook-disrupt-zinc-malware-attack-protect-customers-internet-ongoing-cyberthreats/,https://www.secureworks.com/about/press/media-alert-secureworks-discovers-north-korean-cyber-threat-group-lazarus-spearphishing,https://threatrecon.nshc.net/2019/01/23/sectora01-custom-proxy-utility-tool-analysis/,https://objective-see.com/blog/blog_0x49.html,https://www.sentinelone.com/blog/lazarus-apt-targets-mac-users-poisoned-word-document/,,
Group123 ,Ricochet Chollima,Group 123,,ScarCruft,Red Eyes,Reaper,APT37,"Venus 121 
(금성121)",,,,,Reaper,Erebus,Golden Time,Evil New Year,Are you Happy?,FreeMilk,North Korean Human Rights,Evil New Year 2018,,"KARAE, SOUNDWAVE, ZUMKONG, RICECURRY, CORALDECK, POORAIM, SLOWDRIFT, MILKDROP, GELCAPSULE, DOGCALL, HAPPYWORK, RUHAPPY, SHUTTERSPEED, Flash Exploit CVE-2016-4117, ROKRAT, KEVDROID, BabyShark, KimJongRAT","Primarily South Korea – though also Japan, Vietnam and the Middle East – in various industry verticals, including chemicals, electronics, manufacturing, aerospace, automotive, and healthcare; Scarcruft Tracking: Russia, Nepal, South Korea, China, India, Kuwait and Romania",,FireEye iSIGHT Intelligence believes that APT37 is aligned with the activity publicly reported as Scarcruft and Group123,https://www.fireeye.com/blog/threat-research/2018/02/apt37-overlooked-north-korean-actor.html,http://blog.talosintelligence.com/2018/01/korea-in-crosshairs.html,https://securelist.com/blog/research/75082/cve-2016-4171-adobe-flash-zero-day-used-in-targeted-attacks/,https://exchange.xforce.ibmcloud.com/collection/Fear-The-Reaper-North-Korean-Group-APT37-dc96e8bdff7573efb87d43d7584c1fbc,https://unit42.paloaltonetworks.com/unit42-nokki-almost-ties-the-knot-with-dogcall-reaper-group-uses-new-malware-to-deploy-rat/,https://unit42.paloaltonetworks.com/unit42-reaper-groups-updated-mobile-arsenal/,https://blog.alyac.co.kr/1985,https://unit42.paloaltonetworks.com/new-babyshark-malware-targets-u-s-national-security-think-tanks/,https://securelist.com/scarcruft-continues-to-evolve-introduces-bluetooth-harvester/90729/,,,,,,,,,,,,,
DarkHotel,,,,Luder,Karba,Tapaoux,Nemim,APT-C-06,SIG25,Dubnium,Fallout Team,,Dark Hotel,Inexsmar,Daybreak,Wizard Opium,Higaisa,,,,,"Win32.Karba, Win32.Pioneer, CVE-2015-8651, Asruex,  CVE-2012-0158, CVE-2010-2883, CVE-2016-4171 and CVE-2018-817","Japan, Taiwan, China, Russia, and South Korea, North Korea

Government, Utilities, High-Tech, Automotive","Information on Chinese forum indicating group may have targeted CVE-2015-8651, most likely a South Korean actor",,https://securelist.com/blog/research/66779/the-darkhotel-apt/,http://drops.wooyun.org/tips/11726,https://labs.bitdefender.com/wp-content/uploads/downloads/inexsmar-an-unusual-darkhotel-campaign/,http://www.wired.com/2014/11/darkhotel-malware/,https://securelist.com/operation-daybreak/75100/,https://www.forcepoint.com/sites/default/files/resources/files/report_jaku_analysis_of_botnet_campaign_en_0.pdf,https://research.checkpoint.com/silivaccine-a-look-inside-north-koreas-anti-virus/,https://github.com/aptnotes/data/issues/56,https://blogs.jpcert.or.jp/en/2016/06/asruex-malware-infecting-through-shortcut-files.html,https://blog.trendmicro.com/trendlabs-security-intelligence/asruex-backdoor-variant-infects-word-documents-and-pdfs-through-old-ms-office-and-adobe-vulnerabilities/,https://blog.trendmicro.com/trendlabs-security-intelligence/asruex-backdoor-variant-infects-word-documents-and-pdfs-through-old-ms-office-and-adobe-vulnerabilities/,https://securelist.com/chrome-0-day-exploit-cve-2019-13720-used-in-operation-wizardopium/94866/,https://translate.google.com/translate?hl=&sl=zh-CN&tl=en&u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FW87E6_v9YCnsmQWDd7NOHw&sandbox=1,https://s.tencent.com/research/report/836.html,,,,,,,,
Andariel,Silent Chollima,,,,,,,,,,,Andariel,Campaign Rifle,DesertWolf,Vanxatm,Mayday,INITROY,XEDA,Sony,,,"RifDoor, Phandoor",Information gathering and profit,,Lazarus subgroup,https://www.scmagazineuk.com/war-plans-including-assassination-plan-stolen-by-north-korean-hackers/article/699089/,https://gsec.hitb.org/materials/sg2017/D1%20-%20Ashley%20Shen%20and%20Moonbeom%20Park%20-%20A%20Deep%20Dive%20into%20the%20Digital%20Weapons%20of%20the%20North%20Korean%20Cyber%20Army.pdf,http://www.fsec.or.kr/user/bbs/fsec/21/13/bbsDataView/910.do,http://online.wsj.com/public/resources/documents/print/WSJ_-A006-20170728.pdf,https://blog.trendmicro.com/trendlabs-security-intelligence/new-andariel-reconnaissance-tactics-hint-at-next-targets/,,,,,,,,,,,,,,,,,
Kimsuki,Velvet Chollima,,,Kimsuky,,,,,,,,,,,,,,,,,,"KPortScan, PsExec, Procdump, Mimikatz, Eternal suite of exploits, NirSoft MailPassView/Network Password Recovery/Remote Desktop PassView/SniffPass/WebBrowserPassView, Mechanical, Grease","This threat actor targets South Korean think tanks, industry, nuclear power operators, and the Ministry of Unification for espionage purposes.",,,http://securelist.com/analysis/57915/the-kimsuky-operation-a-north-korean-apt/,http://www.reuters.com/article/us-nuclear-southkorea-northkorea-idUSKBN0MD0GR20150317,https://asert.arbornetworks.com/stolen-pencil-campaign-targets-academia/,https://apt.securelist.com/#!/threat/972,https://www.anomali.com/blog/suspected-north-korean-cyber-espionage-campaign-targets-multiple-foreign-ministries-and-think-tanks#When:14:00:00Z,https://crowdstrike.lookbookhq.com/web-global-threat-report-2019/crowdstrike-2019-gtr,https://www.zdnet.com/article/cyber-espionage-group-uses-chrome-extension-to-infect-victims/,https://www.cert.ssi.gouv.fr/uploads/CERTFR-2019-ACT-009.pdf,https://blog.alyac.co.kr/2243,https://blog.alyac.co.kr/attachment/cfile5.uf@99A0CD415CB67E210DCEB3.pdf,https://blog.prevailion.com/2019/09/autumn-aperture-report.html,,,,,,,,,,,
NoName,,,,,,,,,,,,,,,,,,,,,,"malware with name ""mySingleMessenger.exe""",,,NorthKorea vs Samsung,http://securityfactory.tistory.com/332,,,,,,,,,,,,,,,,,,,,,
OnionDog,,,,,,,,,,,,,,,,,,,,,,,"This threat actor targets the South Korean government, transportation, and energy sectors.",,False Positive. APT Training by SK Government,http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml,http://zhuiri.360.cn/upload/APT-C-03-en.pdf,http://www.chinadaily.com.cn/china/2016-03/09/content_23794129.htm,http://news.softpedia.com/news/korean-energy-and-transportation-targets-attacked-by-oniondog-apt-501534.shtml,,,,,,,,,,,,,,,,,,
TEMP.Hermit,,,,APT38,,,,,,,,,,,,,,,,,,"VOLGMER, PEACHPIT","Korean Peninsula, US Aerospace, SWIFT-fraud operations in East Asia",,,https://www.isightpartners.com/2016/02/threatscape-media-highlights-update-week-of-february-17th/,http://www.scmagazine.com/sony-hackers-are-still-hacking-researchers-say/article/474166/,https://www.fireeye.com/blog/threat-research/2018/10/apt38-details-on-new-north-korean-regime-backed-threat-group.html,,,,,,,,,,,,,,,,,,,
?,,,,,,,,,,,,,Honeybee,,,,,,,,,MaoCheng Dropper,Humanitarian Aid Groups,,,https://securingtomorrow.mcafee.com/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,,,,,,,,,,,,,,,,,,,,,
Stardust Chollima,Stardust Chollima,,,APT38,ElectricFish,BlueNoroff,,,,,,,FASTCash,Far Eastern International Bank,,,,,,,,"Dimens, MBR Killer, ElectricFish","Latin America, Mexico, Costa Rica, Chile, Argentina, financial institutions in Asia and Africa in 2018",,,https://app.cdn.lookbookhq.com/lbhq-production/10339/content/original/9dd0e31a-c9c0-4e1c-aea1-f35d3e930f3d/CrowdStrike_GTR_2019_.pdf,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-april-stardust-chollima/,https://www.crowdstrike.com/blog/big-game-hunting-with-ryuk-another-lucrative-targeted-ransomware/,https://baesystemsai.blogspot.com/2017/10/taiwan-heist-lazarus-tools.html,https://www.crowdstrike.com/blog/big-game-hunting-with-ryuk-another-lucrative-targeted-ransomware/,https://techcrunch.com/2019/08/15/cyber-command-north-korea-malware/,,,,,,,,,,,,,,,,
